citizen_collocate,n
canadian,1631
taxes,1631
obligation,1622
change,1622
voting,1621
slave,1618
valuable,1617
post,1616
virginia,1615
care,1615
representative,1615
room,1614
color,1613
un,1605
concern,1605
later,1602
merely,1601
worth,1592
soldiery,1591
ask,1581
look,1575
planning,1559
iu,1556
june,1553
bring,1550
nature,1549
pride,1545
level,1542
paper,1540
gentleman,1539
serve,1538
eminent,1536
tlie,1532
informed,1530
hope,1529
share,1526
result,1523
activities,1523
killed,1523
based,1519
neighbor,1515
terms,1513
show,1509
institutions,1508
wants,1508
comes,1494
dead,1493
adopted,1488
independent,1485
century,1483
mean,1483
direct,1479
research,1476
particular,1475
article,1469
aud,1467
demand,1463
mother,1462
longer,1459
patriot,1455
issue,1454
neither,1454
sent,1453
arrested,1450
due,1448
organizations,1447
brooklyn,1442
charge,1440
issues,1437
thle,1436
funeral,1427
simple,1426
nn,1425
population,1421
religion,1416
third,1412
russian,1411
probably,1408
takes,1406
lives,1405
side,1404
provide,1401
ha,1397
secure,1397
title,1395
importance,1394
greatest,1393
author,1391
effect,1391
plan,1390
gave,1384
account,1377
criminal,1373
smith,1371
questions,1368
major,1363
defense,1361
china,1361
keep,1359
conditions,1358
news,1357
sunday,1355
half,1355
rich,1352
elected,1352
ile,1350
indian,1350
thc,1349
felt,1348
housing,1348
roosevelt,1345
cases,1344
ten,1341
center,1340
standing,1340
officials,1338
trial,1336
principle,1336
corporation,1334
return,1332
daily,1327
brother,1327
student,1323
receive,1322
gen,1319
seen,1319
minister,1316
journal,1315
art,1315
college,1314
rev,1308
minded,1305
administration,1303
appeal,1297
already,1295
provided,1291
worker,1290
written,1287
love,1272
quite,1268
illinois,1265
commission,1265
hands,1260
persons,1256
henry,1255
catholic,1250
anid,1248
professional,1248
soon,1245
desire,1245
op,1242
page,1240
abroad,1239
tbo,1238
understand,1237
gives,1235
strong,1233
studies,1231
merchant,1230
rule,1230
thirty,1228
air,1228
liberal,1227
decent,1221
tlio,1220
relationship,1219
condition,1217
building,1213
upright,1212
ihe,1208
japanese,1201
job,1201
quiet,1200
voter,1199
address,1198
complaints,1198
bound,1197
virtue,1193
amer,1187
short,1186
bis,1186
story,1185
mexico,1176
secretary,1174
clear,1172
science,1171
bank,1168
presented,1160
clothes,1159
candidate,1156
term,1154
six,1153
theory,1150
continued,1145
principles,1145
effort,1143
evening,1142
various,1140
favor,1140
nt,1136
faithful,1135
award,1135
dress,1134
certainly,1133
club,1130
low,1130
relation,1127
au,1120
italian,1120
likely,1117
taking,1115
period,1113
leader,1112
col,1103
trade,1097
teacher,1095
ia,1095
months,1094
beyond,1094
farmer,1094
recent,1092
ballot,1091
jury,1090
efforts,1089
available,1089
empire,1085
allowed,1074
allegiance,1069
cities,1067
movement,1064
conduct,1060
consider,1059
herald,1058
tha,1057
tihe,1057
month,1052
naturalization,1051
generally,1051
basic,1050
evidence,1050
fully,1049
shot,1047
va,1046
line,1044
degree,1044
manner,1041
try,1040
humblest,1039
served,1035
meet,1034
involved,1033
effective,1033
loss,1031
fight,1029
ir,1028
ad,1026
anti,1025
forces,1023
li,1021
wish,1021
alone,1019
tire,1018
attitudes,1009
authorities,1008
consumer,1007
govern,1002
cost,1002
statement,1002
declaration,1001
published,1000
anything,999
equality,996
copyright,995
international,992
faith,991
answer,991
claims,990
turn,987
hard,986
rome,986
ground,982
really,980
leave,979
ward,978
east,975
excellent,973
analysis,971
robert,971
nearly,969
ti,969
capacity,967
arms,964
trust,959
ability,959
stated,957
latter,955
ami,951
writer,951
fine,951
neighborhood,950
doubt,950
demands,949
statesman,949
obligations,948
ready,948
heard,947
mexican,945
mass,940
hon,940
canada,940
ameri,939
europe,930
esq,928
situation,923
ns,923
noble,921
goes,919
including,915
policeman,915
got,912
tell,911
dis,909
educated,908
equally,907
supreme,905
cleveland,905
colonel,904
access,902
face,902
amendment,901
voice,901
louis,900
concept,898
views,897
tions,896
ie,894
gov,894
territory,891
oldest,890
park,887
higher,884
extent,883
language,881
remain,879
regarded,879
paris,879
choice,878
agency,876
instead,876
seem,875
tn,875
boy,875
facts,874
commonwealth,866
massachusetts,864
play,864
thinking,863
committed,863
basis,863
wealth,862
leaders,860
values,857
x,852
athenian,849
mere,846
countries,846
hall,844
november,843
agencies,839
decisions,839
finally,835
captain,832
afternoon,830
middle,828
essential,827
parent,826
residing,826
established,825
deal,825
attorney,824
object,823
aa,823
grant,823
sovereign,821
devoted,818
central,817
organized,816
marriage,816
carolina,815
complaint,815
capital,815
activity,815
manchester,814
dollars,812
honorable,810
western,809
legislation,808
matters,807
norfolk,807
along,804
iii,802
southern,802
jurisdiction,801
cent,801
ar,800
books,800
giving,799
campaign,799
knew,799
grand,798
october,792
january,788
ways,785
nd,784
quality,784
formerly,783
greek,783
hundred,783
et,782
met,782
denied,782
adult,779
understanding,777
practice,776
attempt,775
clock,773
rent,772
tin,771
field,768
practical,768
jews,767
athens,767
bdrm,765
francisco,764
israel,762
russia,761
speech,760
solid,759
throughout,759
acts,758
professor,758
benefits,757
yes,757
truth,757
successful,755
expected,753
benefit,751
saturday,746
owner,743
learn,743
er,740
attitude,739
sr,738
apt,738
distinction,737
measure,736
willing,735
environmental,733
similar,732
parties,731
conscience,731
around,730
enjoy,729
none,729
amount,728
directly,728
provides,727
follows,725
newspaper,724
culture,722
gt,722
data,719
increase,718
water,718
revolution,717
americans,716
defendant,715
light,714
recognized,713
mo,713
executive,713
judgment,713
im,712
tried,712
joseph,712
responsibilities,710
believes,710
learning,709
shanghai,709
feeling,708
workers,707
wrong,703
appears,701
pennsylvania,700
note,700
behavior,699
meaning,698
rest,698
placed,697
scholar,695
admitted,695
ai,695
trained,694
texas,693
speaking,692
chairman,691
honorary,691
enter,690
september,690
register,689
response,689
voters,688
car,688
youth,687
august,686
outside,684
led,683
areas,683
ly,680
lt,680
write,680
include,680
students,675
moment,675
project,673
streets,672
prevent,672
accept,671
clearly,670
wrote,670
municipal,670
influential,669
december,668
saw,668
taxpayer,668
historical,668
oi,668
feels,667
appointed,666
powers,666
satisfaction,666
wanted,666
paul,663
charged,662
protest,662
patriotism,662
guard,661
tl,661
te,660
coming,659
plaintiff,659
chance,658
difficult,658
kingdom,656
passport,656
follow,655
majority,654
tle,652
together,651
serious,651
murder,651
run,651
nations,649
educational,646
corporate,645
industry,645
needed,645
legislature,644
fire,643
league,641
reported,641
granted,640
swiss,639
letters,639
jan,639
big,636
february,634
poet,632
complete,632
communities,630
works,629
forms,629
discount,626
universal,626
prove,626
master,626
success,624
owes,624
increased,622
apply,621
appear,620
kane,620
close,619
wise,619
vol,619
arc,618
hear,617
membership,617
particularly,617
references,616
progress,616
oath,616
library,615
develop,615
oct,614
brown,613
table,613
pass,613
friday,610
johnson,609
obey,609
lord,609
sort,608
spanish,608
regardless,608
identity,607
subjects,606
ican,604
enforcement,604
reform,604
current,602
id,602
advisory,601
politician,600
bedroom,600
rate,597
treated,596
artist,595
physician,594
function,594
dec,593
humble,591
democrat,589
welcome,588
survey,587
related,583
foreigner,580
britain,579
calls,577
instance,576
director,576
remains,576
cultural,575
express,574
added,573
requires,573
safety,572
sept,572
guide,572
railroad,571
governmental,570
island,570
european,569
offered,568
beloved,568
militia,568
else,568
sure,567
defined,567
seven,567
fundamental,566
engaged,564
limited,563
protected,563
centers,562
liberties,561
fear,561
existence,560
input,558
qualified,557
task,556
wishes,553
truly,553
tuesday,552
participate,552
ou,552
discussion,552
hie,551
israeli,551
lead,550
lot,549
impact,549
total,548
slavery,548
avenue,547
returned,547
contact,547
mental,545
potential,545
desires,545
stranger,544
wa,543
offer,543
proposed,542
convention,542
operation,542
everyday,542
decided,541
thousand,541
happy,541
irish,540
bear,539
policies,539
negroes,536
jones,536
na,535
parents,535
levels,533
consideration,533
stands,532
price,531
ap,530
belief,527
governments,527
resources,527
pre,526
loyalty,526
etc,526
jersey,526
application,525
ottawa,524
conflict,524
medical,523
towards,523
thoughtful,521
ono,520
obtain,520
suddenly,520
scientist,520
deprived,519
concerns,517
thie,514
fur,513
circumstances,512
primary,512
hence,511
david,511
turned,510
african,509
typical,509
administrative,508
fit,508
otherwise,507
monday,507
enemy,506
confidence,505
fall,505
specific,505
furnished,505
entire,505
richard,502
wilson,502
employment,501
ft,501
leadership,500
changes,499
hat,498
hut,498
growth,498
ibid,497
evaluation,496
industrial,496
forty,495
employed,495
career,495
proved,494
results,491
virtuous,490
definition,488
described,488
charges,488
reading,487
lu,487
usually,486
broad,486
enterprising,486
literature,485
contract,485
claimed,484
wo,483
capable,481
danger,480
female,480
front,479
included,479
es,479
individuals,478
hardly,478
tt,478
defence,477
institution,476
thursday,476
blood,475
hospital,474
preferences,473
addition,473
coun,473
baltimore,473
thi,472
standard,472
illness,472
carry,470
visit,470
representatives,469
pa,469
hill,469
nationality,467
moreover,467
purposes,466
shown,466
wide,465
petition,465
lor,464
actions,463
reputable,462
aug,460
began,460
baptist,459
voluntary,458
eight,458
industrious,457
jackson,457
accepted,455
difference,454
provision,454
violence,454
significant,454
allow,453
believed,452
ave,452
lay,451
agent,450
frank,449
actually,449
final,448
perfect,448
estate,447
affect,447
credit,447
occasion,446
ac,446
performance,445
replied,445
independence,444
nov,444
appeared,443
carried,443
opinions,442
management,442
volunteer,442
roles,442
failed,441
approach,440
expect,440
structure,440
cast,439
ideas,439
interesting,437
creed,437
lack,436
ter,436
appreciation,435
reputation,434
dies,434
media,434
travel,433
looking,432
train,432
require,432
nf,432
rules,432
guaranteed,431
japan,430
actual,428
forth,427
learned,426
servant,426
staff,426
requirements,424
edward,424
sufficient,424
material,423
tor,422
macon,422
armed,422
sum,422
camp,421
senate,421
station,420
finds,420
lhe,420
elections,419
perspective,419
permitted,418
talk,418
fifty,418
quarterly,417
sacred,417
argument,416
developed,415
despite,415
secured,414
thu,414
alike,412
tribute,411
arizona,411
save,411
critical,410
red,410
wednesday,409
discharge,409
thereof,408
feb,408
necessity,407
ala,407
votes,406
village,406
road,405
increasing,405
substantial,404
entirely,403
aware,401
radio,401
perform,401
regular,400
treatment,400
hour,400
keen,399
safe,398
created,398
reasons,398
contemporary,398
designed,398
volume,397
sometimes,397
consul,396
precinct,396
hero,396
reports,396
enlightened,395
holding,395
waa,394
suffrage,394
percent,393
impossible,391
origin,391
owned,391
chapter,390
suggests,390
institute,390
amp,388
seek,388
move,388
notice,387
columbus,387
produce,387
largely,387
applied,386
wherever,386
tbat,386
trying,385
fourth,384
normal,384
measures,384
main,384
residents,383
q,382
intellectual,382
racial,382
loving,381
kept,381
market,381
plans,380
reach,380
virtues,380
financial,380
statute,379
energy,379
surveys,379
davis,379
deprive,378
saying,378
santa,378
ne,378
opposition,378
issued,377
anil,377
india,377
nil,377
io,376
conception,376
sec,375
mi,375
pays,375
museums,375
capt,375
understood,374
notion,374
unit,374
places,373
portion,373
dignity,373
holds,372
notes,372
buy,372
maintain,372
thinks,370
vital,370
paying,369
physical,369
complex,369
bespeak,369
qualities,368
concerning,367
clean,367
tb,367
prison,367
points,367
food,367
pleasure,366
und,366
classes,366
flag,366
resolved,366
opportunities,365
expressed,365
par,365
cf,365
tradition,364
initiative,364
permit,364
domestic,364
assembly,364
ut,363
obedience,363
eligible,362
prosperity,362
larger,362
image,362
annual,361
exist,361
date,361
integrity,360
commissioner,360
deceased,359
inter,358
communist,358
tlhe,358
thai,358
navy,357
join,357
ty,356
perceptions,356
assistance,356
traditional,355
newly,355
ticket,355
refused,354
shows,354
count,354
accused,352
permanent,352
test,352
recognize,351
lies,351
represented,351
sees,350
mid,350
freely,350
intelligence,349
continue,349
figure,348
environment,348
entered,348
ties,346
intended,346
writing,346
emphasis,346
sad,346
foremost,345
desirable,345
source,344
formal,344
spent,344
sound,344
everything,344
hotel,344
se,343
earlier,342
events,342
peaceful,342
create,342
cincinnati,342
rooms,341
peaceable,340
prepared,339
aristotle,339
older,339
picture,339
generous,337
economy,337
proof,336
magistrate,336
original,336
memory,335
ancient,334
initiated,334
reader,334
ills,334
noted,334
reasonable,334
oar,333
effects,333
boards,333
trouble,332
immigrant,332
formed,332
hit,332
italy,331
context,331
writes,331
expression,330
slaves,329
inc,329
seeking,328
rm,328
strength,328
jacob,327
die,326
growing,326
evaluations,326
girl,326
anyone,326
oil,325
suppose,324
sought,324
meant,324
armies,324
advantage,323
maryland,322
harlem,322
easy,322
jr,322
failure,322
teachers,321
debt,321
step,320
defend,320
leaves,319
tive,318
acting,318
recognition,318
columbia,317
pref,317
contribute,317
using,317
judicial,316
send,316
burden,315
committees,315
taxation,314
feelings,314
properly,314
commerce,313
participants,311
dear,311
gone,311
command,311
tucson,310
speaks,310
surely,310
guilty,310
challenge,309
realize,309
registered,308
vice,308
experienced,308
williams,308
behalf,307
prince,307
volunteers,307
deny,306
suggest,306
sue,306
relief,305
advocacy,304
bat,304
looked,304
behind,302
systems,301
crisis,301
proquest,300
bar,300
raised,300
positive,300
politically,300
till,300
pittsburgh,300
preferred,299
earth,299
bath,299
methods,299
primarily,299
familiar,299
nine,298
million,298
units,297
opposed,297
scale,297
rational,296
appropriate,296
followed,295
goals,295
efficient,295
functions,295
lands,295
division,294
belong,294
ni,294
eyes,293
possession,293
deeply,293
rural,293
africa,293
goods,293
rank,292
guarantee,292
tional,292
mississippi,291
urged,291
port,291
legislative,291
richmond,290
teaching,290
reality,290
